Month,Items,Spend
01/01/2019,474649,887762
01/02/2019,429336,802616
01/03/2019,465250,864170
01/04/2019,459844,933912
01/05/2019,487817,951441
01/06/2019,457286,887727
01/07/2019,469682,908832
01/08/2019,498211,1064248
01/09/2019,467086,1003393
01/10/2019,501560,1082422
01/11/2019,477800,1091660
01/12/2019,488803,1236585
01/01/2020,515176,1198964
01/02/2020,463459,1078436
01/03/2020,514819,1978769
01/04/2020,498937,2392299
01/05/2020,477598,2333674
01/06/2020,496279,2177659
01/07/2020,519822,2200959
01/08/2020,470606,1858206
01/09/2020,509607,1825336
01/10/2020,520036,1783207
01/11/2020,505197,1650033
01/12/2020,536739,1762493
01/01/2021,512609,1890538
01/02/2021,483583,1788579
01/03/2021,544725,1995198
01/04/2021,523852,1513255
01/05/2021,505711,1445600
01/06/2021,536166,1529910
01/07/2021,534727,1287227
01/08/2021,517247,1256209
01/09/2021,534641,1304731
01/10/2021,519447,1141614
01/11/2021,530596,1175308
01/12/2021,561045,1252829
01/01/2022,531691,956526
01/02/2022,499234,908811
01/03/2022,567617,1035225
01/04/2022,529793,942132
01/05/2022,554531,973493
01/06/2022,534773,954191
01/07/2022,535283,1376003
01/08/2022,550871,1398593
01/09/2022,547740,1391134
01/10/2022,543562,1293876
01/11/2022,556233,1242838
01/12/2022,555918,1339755
01/01/2023,559530,1337561
01/02/2023,512724,1181272
01/03/2023,589134,1318591
01/04/2023,531609,1204987
01/05/2023,562318,1265836
01/06/2023,577482,1301168
01/07/2023,559155,1146920
01/08/2023,571757,1157535
01/09/2023,566650,1144691
01/10/2023,570769,1120276
01/11/2023,576846,1131420
01/12/2023,573313,1142479
01/01/2024,594894,1162661
01/02/2024,564517,1144424
01/03/2024,572526,1153170
01/04/2024,593080,1076671
01/05/2024,601485,1115157
01/06/2024,560195,1104719
01/07/2024,611731,1279373
01/08/2024,590702,1172107
01/09/2024,580179,1081615
01/10/2024,618033,1081583
